Discrete Pipelined Operation Breakdown
Matrix,Global Reductions (+Barrier),Memcpy Dots To Host,Merged Dots (+Reset),NVSHMEM Barrier 1 (After SpMV),NVSHMEM Barrier 2 (End of Iteration),Saxpy 1,Saxpy 2,Saxpy 3,Saxpy 4,Saxpy 5,Saxpy 6,SpMV
(generated)_tridiagonal,0.1818,0.0681,0.2480,0.1142,0.1210,0.1980,0.2435,0.2461,0.2417,0.2439,0.2443,0.5201
ecology2,0.1751,0.0658,0.0788,0.1014,0.1104,0.0590,0.0588,0.0589,0.0586,0.0584,0.0584,0.0987
hood,0.1740,0.0659,0.0724,0.1124,0.1051,0.0558,0.0558,0.0558,0.0553,0.0550,0.0552,0.4796
bmwcra_1,0.1703,0.0669,0.0718,0.2503,0.1036,0.0552,0.0550,0.0549,0.0547,0.0544,0.0544,0.9414
consph,0.1735,0.0667,0.0722,0.1561,0.1060,0.0556,0.0553,0.0554,0.0551,0.0549,0.0548,0.4441
thermomech_dM,0.1741,0.0665,0.0726,0.0938,0.1028,0.0562,0.0561,0.0560,0.0557,0.0555,0.0556,0.2408
tmt_sym,0.1746,0.0667,0.0764,0.0988,0.1040,0.0584,0.0582,0.0583,0.0577,0.0576,0.0578,0.1144
crankseg_1,0.1733,0.0690,0.0765,7.5716,0.1040,0.0555,0.0550,0.0552,0.0548,0.0544,0.0546,1.7455
crankseg_2,0.1758,0.0682,0.0777,10.8521,0.1061,0.0553,0.0550,0.0549,0.0546,0.0544,0.0545,1.8073
Queen_4147,0.1791,0.0697,0.1071,0.2459,0.1102,0.0801,0.0792,0.0817,0.0730,0.0685,0.0717,15.1174
Bump_2911,0.1799,0.0692,0.0949,0.1052,0.1058,0.0735,0.0728,0.0742,0.0676,0.0646,0.0646,4.9992
G3_circuit,0.1746,0.0663,0.0823,0.0891,0.1030,0.0607,0.0605,0.0610,0.0604,0.0601,0.0601,0.2353
StocF-1465,0.1827,0.0681,0.0828,0.0944,0.1040,0.0626,0.0625,0.0665,0.0621,0.0600,0.0596,0.6804
Flan_1565,0.1787,0.0685,0.0846,0.3012,0.1051,0.0644,0.0653,0.0662,0.0623,0.0597,0.0598,4.4129
audikw_1,0.1788,0.0699,0.0811,2.9359,0.1025,0.0606,0.0601,0.0620,0.0598,0.0578,0.0579,1.9612
Serena,0.1805,0.0688,0.0828,0.3760,0.1068,0.0633,0.0625,0.0649,0.0609,0.0586,0.0588,2.5207
Geo_1438,0.1797,0.0693,0.0825,0.1363,0.1035,0.0641,0.0633,0.0657,0.0613,0.0592,0.0590,2.3228
Hook_1498,0.1791,0.0675,0.0827,0.1411,0.1048,0.0639,0.0634,0.0663,0.0615,0.0592,0.0593,1.8353
ldoor,0.1811,0.0679,0.0798,0.1083,0.1043,0.0602,0.0608,0.0621,0.0597,0.0578,0.0578,0.9961
