Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
tridiagonal,CPU-Controlled Standard CG (Baseline),19.9921,20.2702,3.966,3.1366,2.7444,2.4302,2.1996,1.9798
tridiagonal,CPU-Controlled Pipelined CG (Baseline),26.0529,24.9595,4.8967,3.7941,3.1375,2.6973,2.3758,2.1325
tridiagonal,CPU-Free Standard CG (Ours),10.6638,5.5042,3.9393,2.9701,2.4979,2.1984,1.8849,1.6519
tridiagonal,CPU-Free Pipelined CG (Ours),14.8112,7.4845,5.1441,3.8363,3.1181,2.6799,2.291,2.0119
ecology2,CPU-Controlled Standard CG (Baseline),1.851,3.0973,0.7845,0.7246,0.7783,0.7905,0.8055,0.7429
ecology2,CPU-Controlled Pipelined CG (Baseline),2.0306,2.5219,0.6317,0.5404,0.5225,0.5232,0.525,0.5153
ecology2,CPU-Free Standard CG (Ours),0.6318,0.4592,0.453,0.3635,0.4271,0.4387,0.445,0.4057
ecology2,CPU-Free Pipelined CG (Ours),0.8445,0.4354,0.3526,0.2807,0.2119,0.2141,0.2089,0.201
hood,CPU-Controlled Standard CG (Baseline),6.8585,4.8067,1.3022,1.2088,1.2732,1.2827,1.2972,1.2669
hood,CPU-Controlled Pipelined CG (Baseline),6.8074,3.698,0.9757,0.9384,0.9194,0.9276,0.9253,0.9268
hood,CPU-Free Standard CG (Ours),1.3906,0.9005,0.9312,0.8604,0.937,0.9455,0.9613,0.9246
hood,CPU-Free Pipelined CG (Ours),1.6857,1.2529,0.7487,0.7176,0.6995,0.6904,0.6953,0.6928
bmwcra_1,CPU-Controlled Standard CG (Baseline),6.0858,8.2479,2.2355,1.9989,1.9478,1.959,2.0262,1.9977
bmwcra_1,CPU-Controlled Pipelined CG (Baseline),5.8898,7.2661,1.9164,1.78,1.6256,1.6167,1.6418,1.6335
bmwcra_1,CPU-Free Standard CG (Ours),2.5239,1.9038,1.8683,1.6415,1.6371,1.6402,1.6899,1.6913
bmwcra_1,CPU-Free Pipelined CG (Ours),2.5015,1.791,1.67,1.5821,1.3909,1.3664,1.3892,1.4211
consph,CPU-Controlled Standard CG (Baseline),2.2246,4.7885,1.2354,1.2195,1.3131,1.3429,1.3443,1.314
consph,CPU-Controlled Pipelined CG (Baseline),1.953,3.4684,0.9387,0.941,0.97,0.9819,0.978,0.9706
consph,CPU-Free Standard CG (Ours),0.7991,0.85,0.8994,0.8843,0.9735,1.0076,1.0025,0.9658
consph,CPU-Free Pipelined CG (Ours),0.7826,0.7634,0.7222,0.7195,0.7429,0.7517,0.7501,0.7431
thermomech_dM,CPU-Controlled Standard CG (Baseline),1.2256,2.5959,0.8382,0.8075,0.8832,0.9094,0.9134,0.8739
thermomech_dM,CPU-Controlled Pipelined CG (Baseline),1.0873,2.0731,0.5773,0.5346,0.5277,0.5388,0.5298,0.5272
thermomech_dM,CPU-Free Standard CG (Ours),0.2259,0.3436,0.4679,0.4511,0.5201,0.5469,0.5491,0.5099
thermomech_dM,CPU-Free Pipelined CG (Ours),0.2399,0.245,0.2838,0.2815,0.2767,0.2808,0.2762,0.2716
tmt_sym,CPU-Controlled Standard CG (Baseline),1.9483,2.9016,0.8035,0.7364,0.7853,0.7985,0.7963,0.7399
tmt_sym,CPU-Controlled Pipelined CG (Baseline),1.8177,2.6248,0.5987,0.5452,0.5176,0.5195,0.5151,0.522
tmt_sym,CPU-Free Standard CG (Ours),0.6279,0.4799,0.4529,0.3689,0.4524,0.4576,0.4338,0.3952
tmt_sym,CPU-Free Pipelined CG (Ours),0.7245,0.4378,0.3369,0.2306,0.2214,0.2195,0.1878,0.1862
crankseg_1,CPU-Controlled Standard CG (Baseline),16.242,38.4227,11.9655,11.8067,10.6571,10.4966,10.5309,10.4619
crankseg_1,CPU-Controlled Pipelined CG (Baseline),16.1828,32.2454,11.6159,11.5574,10.3712,10.267,10.2765,10.2488
crankseg_1,CPU-Free Standard CG (Ours),8.9208,11.7413,11.9649,11.5734,10.6298,10.5196,10.574,10.4811
crankseg_1,CPU-Free Pipelined CG (Ours),8.6406,11.4651,11.5519,11.0185,10.2461,10.2243,10.31,10.2142
crankseg_2,CPU-Controlled Standard CG (Baseline),18.8085,46.2693,14.7717,14.8173,15.1527,15.1779,15.1276,13.6007
crankseg_2,CPU-Controlled Pipelined CG (Baseline),18.7755,37.6149,14.3401,14.4558,14.8129,14.7006,14.8249,13.3692
crankseg_2,CPU-Free Standard CG (Ours),10.7959,14.146,14.691,14.7769,15.0346,15.0623,15.0019,13.623
crankseg_2,CPU-Free Pipelined CG (Ours),10.3491,13.6277,14.0327,14.0625,14.4232,14.2698,14.2592,13.2388
Queen_4147,CPU-Controlled Standard CG (Baseline),131.9112,126.8045,41.9608,31.6953,25.0816,20.9454,17.7305,15.9973
Queen_4147,CPU-Controlled Pipelined CG (Baseline),132.9922,104.9984,41.9793,31.531,24.9072,20.6542,17.4423,15.6822
Queen_4147,CPU-Free Standard CG (Ours),35.5961,17.9482,12.1778,9.357,7.6202,6.6333,5.7382,4.8843
Queen_4147,CPU-Free Pipelined CG (Ours),36.2915,18.0651,12.1424,9.2829,7.4228,6.4209,5.5488,4.6971
Bump_2911,CPU-Controlled Standard CG (Baseline),63.6086,63.1467,14.2594,10.7416,9.0851,7.7451,6.7454,5.7887
Bump_2911,CPU-Controlled Pipelined CG (Baseline),64.2764,57.2801,14.154,10.5603,8.8557,7.4254,6.4299,5.503
Bump_2911,CPU-Free Standard CG (Ours),14.3701,7.8989,5.4925,4.4051,3.863,3.3179,2.9546,2.7851
