Execution time on 4A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs
ecology2,(Ours) Persistent Standard,0.7143,0.5125,0.4516,0.3945
ecology2,(Ours) Persistent Pipelined,0.9645,0.4772,0.379,0.2738
hood,(Ours) Persistent Standard,1.4871,0.9239,0.872,0.7976
hood,(Ours) Persistent Pipelined,1.7233,1.1481,0.6908,0.6405
bmwcra_1,(Ours) Persistent Standard,2.6308,1.8227,1.8158,1.6159
bmwcra_1,(Ours) Persistent Pipelined,2.5882,1.6781,1.6068,1.4101
consph,(Ours) Persistent Standard,0.8268,0.8035,0.8166,0.8065
consph,(Ours) Persistent Pipelined,0.7816,0.7116,0.6115,0.6146
thermomech_dM,(Ours) Persistent Standard,0.2471,0.4788,0.5715,0.5117
thermomech_dM,(Ours) Persistent Pipelined,0.2341,0.3655,0.3889,0.3193
tmt_sym,(Ours) Persistent Standard,0.7058,0.523,0.4571,0.3884
tmt_sym,(Ours) Persistent Pipelined,0.827,0.4766,0.3577,0.2217
crankseg_1,(Ours) Persistent Standard,8.9709,10.0384,10.1793,9.8017
crankseg_1,(Ours) Persistent Pipelined,8.6782,9.7578,9.7445,9.3625
crankseg_2,(Ours) Persistent Standard,10.9245,12.2174,12.4631,12.4816
crankseg_2,(Ours) Persistent Pipelined,10.4675,11.8661,11.9406,11.9574
Queen_4147,(Ours) Persistent Standard,38.2688,19.0633,12.8492,9.9012
Queen_4147,(Ours) Persistent Pipelined,38.9839,19.3263,12.9607,9.876
Bump_2911,(Ours) Persistent Standard,15.5915,8.3048,5.8836,4.5307
Bump_2911,(Ours) Persistent Pipelined,16.1529,8.429,6.0651,4.5478
G3_circuit,(Ours) Persistent Standard,1.1457,0.7098,0.6536,0.5625
G3_circuit,(Ours) Persistent Pipelined,1.5375,0.7826,0.5485,0.4598
StocF-1465,(Ours) Persistent Standard,2.6799,1.6571,1.3977,1.2481
StocF-1465,(Ours) Persistent Pipelined,2.9786,1.6766,1.2509,1.0884
Flan_1565,(Ours) Persistent Standard,13.2041,7.0766,4.6686,3.7057
Flan_1565,(Ours) Persistent Pipelined,13.5112,7.067,4.5564,3.5667
audikw_1,(Ours) Persistent Standard,10.7985,10.1572,7.2819,6.2965
audikw_1,(Ours) Persistent Pipelined,10.8216,10.0834,7.0988,6.1702
Serena,(Ours) Persistent Standard,8.2521,4.7464,3.7699,3.1234
Serena,(Ours) Persistent Pipelined,8.3394,4.7587,3.5303,2.9803
Geo_1438,(Ours) Persistent Standard,7.6573,4.0585,3.0045,2.4428
Geo_1438,(Ours) Persistent Pipelined,8.0423,4.0981,2.8963,2.3286
Hook_1498,(Ours) Persistent Standard,7.4432,3.9858,3.0025,2.4475
Hook_1498,(Ours) Persistent Pipelined,7.7119,4.0098,2.8569,2.3196
ldoor,(Ours) Persistent Standard,5.5561,3.2766,2.2505,2.0974
ldoor,(Ours) Persistent Pipelined,5.7029,3.2274,2.1252,1.9387
