Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
ecology2,(Ours) Persistent Standard,0.7294,0.5008,0.4574,0.3635,0.4262,0.4339,0.4352,0.4053
ecology2,(Ours) Persistent Pipelined,0.9794,0.4938,0.3958,0.2994,0.2186,0.2155,0.2147,0.215
hood,(Ours) Persistent Standard,1.5417,0.9829,0.9564,0.9084,0.985,0.9853,0.995,0.9736
hood,(Ours) Persistent Pipelined,1.7754,1.3665,0.7979,0.7698,0.7618,0.7495,0.755,0.7619
bmwcra_1,(Ours) Persistent Standard,2.7699,2.0128,1.9522,1.7068,1.7848,1.7758,1.8102,1.8006
bmwcra_1,(Ours) Persistent Pipelined,2.7934,1.9364,1.8036,1.7046,1.584,1.5395,1.5993,1.5992
consph,(Ours) Persistent Standard,0.8424,0.8791,0.9328,0.9201,1.0026,1.0224,1.033,1.0014
consph,(Ours) Persistent Pipelined,0.8345,0.7944,0.775,0.7831,0.7896,0.7946,0.8022,0.7951
thermomech_dM,(Ours) Persistent Standard,0.2346,0.3451,0.4604,0.4497,0.5163,0.5359,0.5341,0.5073
thermomech_dM,(Ours) Persistent Pipelined,0.2545,0.2501,0.2968,0.2882,0.2823,0.2852,0.2786,0.2813
tmt_sym,(Ours) Persistent Standard,0.7111,0.5139,0.4488,0.3718,0.4542,0.4557,0.4189,0.3997
tmt_sym,(Ours) Persistent Pipelined,0.8567,0.4968,0.3783,0.2509,0.2383,0.2298,0.1893,0.1944
crankseg_1,(Ours) Persistent Standard,9.6901,12.7217,13.0966,12.7187,12.2335,12.4137,11.5104,11.3336
crankseg_1,(Ours) Persistent Pipelined,9.7057,12.669,12.9545,12.6,12.1646,11.7385,11.2815,11.2028
crankseg_2,(Ours) Persistent Standard,11.8663,15.651,16.4438,16.4056,16.6857,16.6297,16.288,15.7104
crankseg_2,(Ours) Persistent Pipelined,11.7643,15.5394,16.0747,16.1663,16.311,16.2807,15.5771,15.2049
Queen_4147,(Ours) Persistent Standard,40.7202,20.248,13.9241,10.6198,8.5845,7.4949,6.4068,5.4092
Queen_4147,(Ours) Persistent Pipelined,41.2758,20.436,13.7401,10.4722,8.3445,7.2107,6.1665,5.1766
Bump_2911,(Ours) Persistent Standard,16.1984,8.8763,6.2229,4.7764,4.1166,3.6153,3.1451,2.9785
Bump_2911,(Ours) Persistent Pipelined,16.8902,9.2653,6.3935,4.7492,4.1129,3.4106,2.976,2.7573
G3_circuit,(Ours) Persistent Standard,1.1642,0.6975,0.6273,0.5219,0.5142,0.5385,0.5371,0.4945
G3_circuit,(Ours) Persistent Pipelined,1.5604,0.7954,0.5452,0.4459,0.3806,0.3508,0.3169,0.2841
StocF-1465,(Ours) Persistent Standard,2.7508,1.7133,1.426,1.2861,1.1741,1.2486,1.0459,0.9734
StocF-1465,(Ours) Persistent Pipelined,3.0745,1.7891,1.3563,1.2133,1.1072,1.0609,0.8578,0.8263
Flan_1565,(Ours) Persistent Standard,14.0705,7.624,4.9984,3.9651,3.1919,3.0646,3.0099,2.1834
Flan_1565,(Ours) Persistent Pipelined,14.2734,7.6656,4.8582,3.8598,3.0228,2.8647,2.8252,2.0111
audikw_1,(Ours) Persistent Standard,11.1142,8.201,6.7993,6.8489,6.4023,6.3677,6.451,6.3556
audikw_1,(Ours) Persistent Pipelined,11.1379,8.1553,6.6409,6.6996,6.1838,6.2322,6.2419,6.261
Serena,(Ours) Persistent Standard,8.4493,5.0357,4.1395,3.3958,2.8998,2.8677,2.3466,2.3186
Serena,(Ours) Persistent Pipelined,8.6273,4.9531,3.8417,3.2641,2.6854,2.5766,2.1669,2.0672
Geo_1438,(Ours) Persistent Standard,7.9904,4.38,3.2204,2.6117,2.1334,2.0905,1.619,1.5386
Geo_1438,(Ours) Persistent Pipelined,8.5533,4.3843,3.1485,2.5303,1.9604,1.9029,1.4207,1.3484
Hook_1498,(Ours) Persistent Standard,7.6873,4.202,3.277,2.6277,2.1754,2.1558,1.6689,1.601
Hook_1498,(Ours) Persistent Pipelined,7.9753,4.2877,3.0847,2.5193,2.0205,2.0173,1.4679,1.4173
ldoor,(Ours) Persistent Standard,5.8083,3.5404,2.4586,2.3218,1.8175,1.7812,1.7579,1.6939
ldoor,(Ours) Persistent Pipelined,5.9693,3.5616,2.3384,2.1865,1.6432,1.5772,1.5609,1.515
