Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
ecology2,(Ours) Persistent Standard,0.713,0.4968,0.4689,0.3723,0.4435,0.4413,0.4438,0.4141
ecology2,(Ours) Persistent Pipelined,0.9812,0.4995,0.3988,0.2992,0.2227,0.219,0.2158,0.2146
hood,(Ours) Persistent Standard,1.5477,0.971,0.9737,0.9017,0.9863,0.9846,0.9869,0.9707
hood,(Ours) Persistent Pipelined,1.769,1.3545,0.7978,0.7544,0.7522,0.7465,0.7469,0.7537
bmwcra_1,(Ours) Persistent Standard,2.7607,2.0175,1.961,1.7238,1.7322,1.7655,1.8153,1.8132
bmwcra_1,(Ours) Persistent Pipelined,2.7895,1.9452,1.8095,1.7007,1.5331,1.5443,1.6129,1.6114
consph,(Ours) Persistent Standard,0.8313,0.8799,0.9444,0.925,1.0097,1.0307,1.0357,1.0098
consph,(Ours) Persistent Pipelined,0.823,0.793,0.7781,0.7854,0.7941,0.7957,0.8046,0.8004
thermomech_dM,(Ours) Persistent Standard,0.23,0.3498,0.4758,0.4541,0.5285,0.5455,0.542,0.5183
thermomech_dM,(Ours) Persistent Pipelined,0.2516,0.2546,0.2963,0.2901,0.2887,0.2868,0.2824,0.284
tmt_sym,(Ours) Persistent Standard,0.7105,0.5201,0.4631,0.3768,0.4791,0.4624,0.4271,0.4044
tmt_sym,(Ours) Persistent Pipelined,0.8492,0.495,0.3811,0.249,0.2384,0.2304,0.1916,0.1975
crankseg_1,(Ours) Persistent Standard,9.6097,12.6824,13.0184,12.6428,12.0661,12.202,11.5026,11.2911
crankseg_1,(Ours) Persistent Pipelined,9.6109,12.6158,12.8886,12.5023,12.0901,11.7605,11.2912,11.1403
crankseg_2,(Ours) Persistent Standard,11.693,15.5411,16.2895,16.447,16.6464,16.503,15.6664,15.7248
crankseg_2,(Ours) Persistent Pipelined,11.6129,15.367,15.9492,16.0908,16.2525,16.0664,15.2825,15.2384
Queen_4147,(Ours) Persistent Standard,39.8327,19.8339,13.4975,10.33,8.327,7.2687,6.2596,5.2959
Queen_4147,(Ours) Persistent Pipelined,40.902,20.4481,13.6174,10.3855,8.2726,7.1381,6.1222,5.16
Bump_2911,(Ours) Persistent Standard,15.9399,8.5239,6.0923,4.7004,4.1757,3.6394,3.1556,2.9798
Bump_2911,(Ours) Persistent Pipelined,16.6099,8.9693,6.2164,4.7846,3.9958,3.5203,2.9755,2.7634
G3_circuit,(Ours) Persistent Standard,1.1538,0.6973,0.6411,0.5276,0.5295,0.5523,0.5462,0.5037
G3_circuit,(Ours) Persistent Pipelined,1.5604,0.8008,0.5489,0.451,0.3848,0.354,0.3237,0.2831
StocF-1465,(Ours) Persistent Standard,2.7766,1.7004,1.4628,1.3108,1.1981,1.2614,1.0298,0.9903
StocF-1465,(Ours) Persistent Pipelined,3.0776,1.7674,1.3551,1.2286,1.1165,1.0575,0.8459,0.8269
Flan_1565,(Ours) Persistent Standard,13.8973,7.5077,4.9475,3.9483,3.1691,3.035,2.9832,2.1767
Flan_1565,(Ours) Persistent Pipelined,14.2606,7.6402,4.8341,3.8194,2.9881,2.8417,2.7871,1.9947
audikw_1,(Ours) Persistent Standard,11.0694,8.2837,6.807,6.8525,6.4431,6.4477,6.5001,6.4084
audikw_1,(Ours) Persistent Pipelined,11.1921,8.1898,6.614,6.6848,6.1671,6.2059,6.2036,6.2271
Serena,(Ours) Persistent Standard,8.406,5.0076,4.0648,3.3607,2.8373,2.8479,2.2876,2.3277
Serena,(Ours) Persistent Pipelined,8.6459,4.9471,3.755,3.2459,2.6961,2.551,2.1697,2.0928
Geo_1438,(Ours) Persistent Standard,7.8745,4.2962,3.229,2.5885,2.1181,2.0993,1.6197,1.5217
Geo_1438,(Ours) Persistent Pipelined,8.4388,4.318,3.1019,2.4983,1.9362,1.8928,1.4117,1.3252
Hook_1498,(Ours) Persistent Standard,7.7248,4.2072,3.2545,2.611,2.1882,2.1498,1.667,1.61
Hook_1498,(Ours) Persistent Pipelined,7.9813,4.2414,3.0833,2.5423,2.0109,1.9861,1.4613,1.4183
ldoor,(Ours) Persistent Standard,5.7331,3.497,2.4948,2.319,1.837,1.7754,1.7732,1.7001
ldoor,(Ours) Persistent Pipelined,5.9496,3.5524,2.3299,2.2014,1.6474,1.5572,1.5609,1.5002
