Execution time on 4A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs
ecology2,PETSc Standard CG (Baseline),1.5279,1.56192,1.66798,1.65023
ecology2,PETSc Pipelined CG (Baseline),2.57449,2.29733,2.27786,2.21174
ecology2,CPU-Free Standard CG (Ours),0.7143,0.5125,0.4516,0.3945
ecology2,CPU-Free Pipelined CG (Ours),0.9645,0.4772,0.379,0.2738
hood,PETSc Standard CG (Baseline),1.52814,1.72003,1.70607,1.65348
hood,PETSc Pipelined CG (Baseline),2.03955,2.18038,2.13756,2.10826
hood,CPU-Free Standard CG (Ours),1.4871,0.9239,0.872,0.7976
hood,CPU-Free Pipelined CG (Ours),1.7233,1.1481,0.6908,0.6405
bmwcra_1,PETSc Standard CG (Baseline),1.52335,1.65225,1.68692,1.65437
bmwcra_1,PETSc Pipelined CG (Baseline),1.99908,2.13895,2.16455,2.11938
bmwcra_1,CPU-Free Standard CG (Ours),2.6308,1.8227,1.8158,1.6159
bmwcra_1,CPU-Free Pipelined CG (Ours),2.5882,1.6781,1.6068,1.4101
consph,PETSc Standard CG (Baseline),1.27497,1.4805,1.51364,1.53913
consph,PETSc Pipelined CG (Baseline),1.71841,1.95415,1.97436,2.02232
consph,CPU-Free Standard CG (Ours),0.8268,0.8035,0.8166,0.8065
consph,CPU-Free Pipelined CG (Ours),0.7816,0.7116,0.6115,0.6146
thermomech_dM,PETSc Standard CG (Baseline),0.918253,1.22515,1.39115,1.36636
thermomech_dM,PETSc Pipelined CG (Baseline),1.5717,1.87,1.99906,1.97675
thermomech_dM,CPU-Free Standard CG (Ours),0.2471,0.4788,0.5715,0.5117
thermomech_dM,CPU-Free Pipelined CG (Ours),0.2341,0.3655,0.3889,0.3193
tmt_sym,PETSc Standard CG (Baseline),1.39265,1.55561,1.64472,1.59295
tmt_sym,PETSc Pipelined CG (Baseline),2.26396,2.23283,2.18929,2.14911
tmt_sym,CPU-Free Standard CG (Ours),0.7058,0.523,0.4571,0.3884
tmt_sym,CPU-Free Pipelined CG (Ours),0.827,0.4766,0.3577,0.2217
crankseg_1,PETSc Standard CG (Baseline),1.4706,1.56024,1.58121,1.55097
crankseg_1,PETSc Pipelined CG (Baseline),1.93463,2.01785,2.01205,2.04495
crankseg_1,CPU-Free Standard CG (Ours),8.9709,10.0384,10.1793,9.8017
crankseg_1,CPU-Free Pipelined CG (Ours),8.6782,9.7578,9.7445,9.3625
crankseg_2,PETSc Standard CG (Baseline),1.62201,1.68675,1.66584,1.64327
crankseg_2,PETSc Pipelined CG (Baseline),2.07326,2.14718,2.12943,2.1148
crankseg_2,CPU-Free Standard CG (Ours),10.9245,12.2174,12.4631,12.4816
crankseg_2,CPU-Free Pipelined CG (Ours),10.4675,11.8661,11.9406,11.9574
Queen_4147,PETSc Standard CG (Baseline),18.8673,10.27,7.38312,5.89027
Queen_4147,PETSc Pipelined CG (Baseline),21.9111,11.7874,8.46777,7.03736
Queen_4147,CPU-Free Standard CG (Ours),38.2688,19.0633,12.8492,9.9012
Queen_4147,CPU-Free Pipelined CG (Ours),38.9839,19.3263,12.9607,9.876
Bump_2911,PETSc Standard CG (Baseline),8.94719,5.22985,4.03305,3.43465
Bump_2911,PETSc Pipelined CG (Baseline),11.1984,6.42507,5.01643,4.32705
Bump_2911,CPU-Free Standard CG (Ours),15.5915,8.3048,5.8836,4.5307
Bump_2911,CPU-Free Pipelined CG (Ours),16.1529,8.429,6.0651,4.5478
G3_circuit,PETSc Standard CG (Baseline),1.9764,1.9693,2.01957,2.62745
G3_circuit,PETSc Pipelined CG (Baseline),3.31201,2.84151,2.75504,3.40711
G3_circuit,CPU-Free Standard CG (Ours),1.1457,0.7098,0.6536,0.5625
G3_circuit,CPU-Free Pipelined CG (Ours),1.5375,0.7826,0.5485,0.4598
StocF-1465,PETSc Standard CG (Baseline),2.58207,2.17127,2.05668,1.96373
StocF-1465,PETSc Pipelined CG (Baseline),3.87429,3.03172,2.79338,2.63452
StocF-1465,CPU-Free Standard CG (Ours),2.6799,1.6571,1.3977,1.2481
StocF-1465,CPU-Free Pipelined CG (Ours),2.9786,1.6766,1.2509,1.0884
Flan_1565,PETSc Standard CG (Baseline),7.20673,4.41263,3.56352,3.10759
Flan_1565,PETSc Pipelined CG (Baseline),8.60175,5.29213,4.27794,3.76831
Flan_1565,CPU-Free Standard CG (Ours),13.2041,7.0766,4.6686,3.7057
Flan_1565,CPU-Free Pipelined CG (Ours),13.5112,7.067,4.5564,3.5667
audikw_1,PETSc Standard CG (Baseline),4.97436,4.39388,3.76007,3.55495
audikw_1,PETSc Pipelined CG (Baseline),6.01544,5.05194,4.34038,4.12472
audikw_1,CPU-Free Standard CG (Ours),10.7985,10.1572,7.2819,6.2965
audikw_1,CPU-Free Pipelined CG (Ours),10.8216,10.0834,7.0988,6.1702
Serena,PETSc Standard CG (Baseline),4.63658,3.22734,2.89325,2.62832
Serena,PETSc Pipelined CG (Baseline),5.8816,4.06258,3.57725,3.24024
Serena,CPU-Free Standard CG (Ours),8.2521,4.7464,3.7699,3.1234
Serena,CPU-Free Pipelined CG (Ours),8.3394,4.7587,3.5303,2.9803
Geo_1438,PETSc Standard CG (Baseline),4.55151,3.15913,2.70313,2.44505
Geo_1438,PETSc Pipelined CG (Baseline),5.84241,4.04913,3.43555,3.10691
Geo_1438,CPU-Free Standard CG (Ours),7.6573,4.0585,3.0045,2.4428
Geo_1438,CPU-Free Pipelined CG (Ours),8.0423,4.0981,2.8963,2.3286
Hook_1498,PETSc Standard CG (Baseline),4.49304,3.15114,2.70416,2.44961
Hook_1498,PETSc Pipelined CG (Baseline),5.84338,4.00257,3.41145,3.10382
Hook_1498,CPU-Free Standard CG (Ours),7.4432,3.9858,3.0025,2.4475
Hook_1498,CPU-Free Pipelined CG (Ours),7.7119,4.0098,2.8569,2.3196
ldoor,PETSc Standard CG (Baseline),3.48489,2.87685,2.63535,2.37015
ldoor,PETSc Pipelined CG (Baseline),4.53227,3.57622,3.26045,2.92115
ldoor,CPU-Free Standard CG (Ours),5.5561,3.2766,2.2505,2.0974
ldoor,CPU-Free Pipelined CG (Ours),5.7029,3.2274,2.1252,1.9387
