Execution time on 8A100
Matrix,Version,1 GPU,2 GPUs,3 GPUs,4 GPUs,5 GPUs,6 GPUs,7 GPUs,8 GPUs
ecology2,PETSc Standard CG (Baseline),1.68121,1.65208,1.66375,1.61521,1.60591,1.59603,1.60926,1.58936
ecology2,PETSc Pipelined CG (Baseline),2.73498,2.43516,2.29214,2.17194,2.09267,2.11132,2.10091,2.09044
ecology2,CPU-Free Standard CG (Ours),0.713,0.4968,0.4689,0.3723,0.4435,0.4413,0.4438,0.4141
ecology2,CPU-Free Pipelined CG (Ours),0.9812,0.4995,0.3988,0.2992,0.2227,0.219,0.2158,0.2146
hood,PETSc Standard CG (Baseline),1.63042,1.8077,1.67999,1.6347,1.64446,1.63696,1.6622,1.69906
hood,PETSc Pipelined CG (Baseline),2.20459,2.32385,2.16915,2.1159,2.11481,2.11293,2.13271,2.1605
hood,CPU-Free Standard CG (Ours),1.5477,0.971,0.9737,0.9017,0.9863,0.9846,0.9869,0.9707
hood,CPU-Free Pipelined CG (Ours),1.769,1.3545,0.7978,0.7544,0.7522,0.7465,0.7469,0.7537
bmwcra_1,PETSc Standard CG (Baseline),1.59976,1.75483,1.70841,1.65651,1.67277,1.66302,1.68808,1.72166
bmwcra_1,PETSc Pipelined CG (Baseline),2.14232,2.25189,2.19019,2.14375,2.16698,2.09136,2.09977,2.1315
bmwcra_1,CPU-Free Standard CG (Ours),2.7607,2.0175,1.961,1.7238,1.7322,1.7655,1.8153,1.8132
bmwcra_1,CPU-Free Pipelined CG (Ours),2.7895,1.9452,1.8095,1.7007,1.5331,1.5443,1.6129,1.6114
consph,PETSc Standard CG (Baseline),1.33694,1.59065,1.55613,1.54888,1.56665,1.60208,1.59167,1.63244
consph,PETSc Pipelined CG (Baseline),1.87116,2.09247,2.04391,2.02259,2.01193,2.05912,2.03085,2.08419
consph,CPU-Free Standard CG (Ours),0.8313,0.8799,0.9444,0.925,1.0097,1.0307,1.0357,1.0098
consph,CPU-Free Pipelined CG (Ours),0.823,0.793,0.7781,0.7854,0.7941,0.7957,0.8046,0.8004
thermomech_dM,PETSc Standard CG (Baseline),0.971152,1.2785,1.29301,1.31914,1.39896,1.38899,1.36146,1.40376
thermomech_dM,PETSc Pipelined CG (Baseline),1.7148,2.00181,1.97913,2.00126,2.08321,2.08866,2.05374,2.10067
thermomech_dM,CPU-Free Standard CG (Ours),0.23,0.3498,0.4758,0.4541,0.5285,0.5455,0.542,0.5183
thermomech_dM,CPU-Free Pipelined CG (Ours),0.2516,0.2546,0.2963,0.2901,0.2887,0.2868,0.2824,0.284
tmt_sym,PETSc Standard CG (Baseline),1.50369,1.66982,1.61609,1.57703,1.59444,1.56739,1.57455,1.57271
tmt_sym,PETSc Pipelined CG (Baseline),2.47274,2.33294,2.17829,2.09596,2.07176,2.09225,2.07457,2.08448
tmt_sym,CPU-Free Standard CG (Ours),0.7105,0.5201,0.4631,0.3768,0.4791,0.4624,0.4271,0.4044
tmt_sym,CPU-Free Pipelined CG (Ours),0.8492,0.495,0.3811,0.249,0.2384,0.2304,0.1916,0.1975
crankseg_1,PETSc Standard CG (Baseline),1.54198,1.66863,1.63152,1.59964,1.61904,1.63769,1.66146,1.68483
crankseg_1,PETSc Pipelined CG (Baseline),2.06904,2.16337,2.1014,2.0569,2.07853,2.08536,2.12355,2.15137
crankseg_1,CPU-Free Standard CG (Ours),9.6097,12.6824,13.0184,12.6428,12.0661,12.202,11.5026,11.2911
crankseg_1,CPU-Free Pipelined CG (Ours),9.6109,12.6158,12.8886,12.5023,12.0901,11.7605,11.2912,11.1403
crankseg_2,PETSc Standard CG (Baseline),1.70164,1.79158,1.71964,1.67808,1.68596,1.68939,1.70095,1.73408
crankseg_2,PETSc Pipelined CG (Baseline),2.24025,2.29126,2.19731,2.13786,2.13044,2.13567,2.15381,2.19402
crankseg_2,CPU-Free Standard CG (Ours),11.693,15.5411,16.2895,16.447,16.6464,16.503,15.6664,15.7248
crankseg_2,CPU-Free Pipelined CG (Ours),11.6129,15.367,15.9492,16.0908,16.2525,16.0664,15.2825,15.2384
Queen_4147,PETSc Standard CG (Baseline),19.2406,10.6469,7.69436,6.24379,5.3411,4.76192,4.37488,4.06607
Queen_4147,PETSc Pipelined CG (Baseline),22.3635,12.2057,8.7957,7.22981,6.24715,5.54807,5.1085,4.77563
Queen_4147,CPU-Free Standard CG (Ours),39.8327,19.8339,13.4975,10.33,8.327,7.2687,6.2596,5.2959
Queen_4147,CPU-Free Pipelined CG (Ours),40.902,20.4481,13.6174,10.3855,8.2726,7.1381,6.1222,5.16
Bump_2911,PETSc Standard CG (Baseline),9.04223,5.42689,4.14099,3.49378,3.12816,2.89956,2.7445,2.63237
Bump_2911,PETSc Pipelined CG (Baseline),11.3567,6.62776,5.12705,4.33578,3.87932,3.62165,3.41897,3.28851
Bump_2911,CPU-Free Standard CG (Ours),15.9399,8.5239,6.0923,4.7004,4.1757,3.6394,3.1556,2.9798
Bump_2911,CPU-Free Pipelined CG (Ours),16.6099,8.9693,6.2164,4.7846,3.9958,3.5203,2.9755,2.7634
G3_circuit,PETSc Standard CG (Baseline),2.14199,2.06251,1.93312,2.319,1.80864,1.77563,1.86305,1.77271
G3_circuit,PETSc Pipelined CG (Baseline),3.45214,2.98065,2.67229,3.32934,2.42463,2.37134,2.45372,2.2435
G3_circuit,CPU-Free Standard CG (Ours),1.1538,0.6973,0.6411,0.5276,0.5295,0.5523,0.5462,0.5037
G3_circuit,CPU-Free Pipelined CG (Ours),1.5604,0.8008,0.5489,0.451,0.3848,0.354,0.3237,0.2831
StocF-1465,PETSc Standard CG (Baseline),2.76765,2.28526,2.05906,1.93043,1.87345,1.84942,1.84645,1.80573
StocF-1465,PETSc Pipelined CG (Baseline),4.0371,3.17699,2.78342,2.58271,2.4657,2.42893,2.37202,2.32084
StocF-1465,CPU-Free Standard CG (Ours),2.7766,1.7004,1.4628,1.3108,1.1981,1.2614,1.0298,0.9903
StocF-1465,CPU-Free Pipelined CG (Ours),3.0776,1.7674,1.3551,1.2286,1.1165,1.0575,0.8459,0.8269
Flan_1565,PETSc Standard CG (Baseline),7.42324,4.56867,3.60956,3.1437,2.85153,2.69236,2.55368,2.47223
Flan_1565,PETSc Pipelined CG (Baseline),8.70295,5.50413,4.35839,3.79301,3.44929,3.27598,3.11174,2.99126
Flan_1565,CPU-Free Standard CG (Ours),13.8973,7.5077,4.9475,3.9483,3.1691,3.035,2.9832,2.1767
Flan_1565,CPU-Free Pipelined CG (Ours),14.2606,7.6402,4.8341,3.8194,2.9881,2.8417,2.7871,1.9947
audikw_1,PETSc Standard CG (Baseline),5.13504,4.43158,3.46615,3.23673,3.17179,3.12473,3.08145,3.05056
audikw_1,PETSc Pipelined CG (Baseline),6.13889,5.09018,4.08384,3.89474,3.70774,3.63324,3.60443,3.49514
audikw_1,CPU-Free Standard CG (Ours),11.0694,8.2837,6.807,6.8525,6.4431,6.4477,6.5001,6.4084
audikw_1,CPU-Free Pipelined CG (Ours),11.1921,8.1898,6.614,6.6848,6.1671,6.2059,6.2036,6.2271
Serena,PETSc Standard CG (Baseline),4.86694,3.3511,2.85741,2.56316,2.82849,2.56276,2.39705,2.28354
Serena,PETSc Pipelined CG (Baseline),6.0783,4.20537,3.53013,3.17856,3.71963,3.36558,3.00103,2.82329
Serena,CPU-Free Standard CG (Ours),8.406,5.0076,4.0648,3.3607,2.8373,2.8479,2.2876,2.3277
Serena,CPU-Free Pipelined CG (Ours),8.6459,4.9471,3.755,3.2459,2.6961,2.551,2.1697,2.0928
Geo_1438,PETSc Standard CG (Baseline),4.81293,3.28997,2.73636,2.45074,2.31488,2.21497,2.16283,2.09655
Geo_1438,PETSc Pipelined CG (Baseline),6.04792,4.15689,3.44825,3.08852,2.89016,2.77969,2.67232,2.60315
Geo_1438,CPU-Free Standard CG (Ours),7.8745,4.2962,3.229,2.5885,2.1181,2.0993,1.6197,1.5217
Geo_1438,CPU-Free Pipelined CG (Ours),8.4388,4.318,3.1019,2.4983,1.9362,1.8928,1.4117,1.3252
Hook_1498,PETSc Standard CG (Baseline),4.74251,3.26665,2.72332,2.44076,2.30468,2.19803,2.15395,2.09427
Hook_1498,PETSc Pipelined CG (Baseline),6.01429,4.15993,3.44736,3.08365,2.88231,2.76775,2.67176,2.59615
Hook_1498,CPU-Free Standard CG (Ours),7.7248,4.2072,3.2545,2.611,2.1882,2.1498,1.667,1.61
Hook_1498,CPU-Free Pipelined CG (Ours),7.9813,4.2414,3.0833,2.5423,2.0109,1.9861,1.4613,1.4183
ldoor,PETSc Standard CG (Baseline),3.69411,2.92301,2.5435,2.26994,2.19285,2.14667,2.12081,2.06104
