Weak Scaling 	Start => 1024x1024	End => 2048x4096	1 Million iterations

	1 GPU (1024x1024)	2 GPUs (1024x2048)	4 GPUs (2048x2048)	8 GPUs (2048x4096)
Single Stream 2TB (No Compute)	2.4382	4.7672	4.9184	8.1736
Baseline Copy (No compute)	7.9792	23.7511	55.5864	78.1668
Single Stream 1TB (No Compute)	3.1543	7.5508	7.6506	13.9486
Single Stream 2TB	7.192	8.612	8.8903	8.9654
Single Stream 1TB	7.2055	8.8046	9.127	15.5033
Baseline Copy Overlap	12.2322	31.4607	71.3725	95.137
Baseline Copy Overlap (No Compute)	12.2878	30.9587	70.8682	96.8606
Baseline Copy	12.7136	25.9365	55.0721	73.8571
Baseline P2P	7.3627	18.3491	44.5818	60.2386
Baseline P2P (No Compute)	4.4936	18.1663	39.4434	56.9321
Design 1	9.5494	10.8306	11.1018	10.747
Design 1 (no compute)	3.4976	4.1581	4.2056	5.4061
PERKS	1.5574	1.5892	1.6003	1.616
